50 50
##################################################
#   #   #   #   #   #   #   #   #   #   #   #   I#
# #   #   #   #   #   #   #   #   #   #   #  a# T#
# ############################################## #
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                                #
################################################ #
#                                                #
# ################################################
#                                               b#
##################################################
